size,type,threads,time,overhead
1000,serial,1,0,0
1000,openmp,1,0.00333333333333333,0
1000,openmp,2,0.028,0
1000,openmp,4,0.0483333333333333,0
1000,openmp,8,0.0796666666666667,0
1000,mpi,1,0.000125333333333333,0
1000,mpi,2,0.000238666666666667,47.4933333333333
1000,mpi,4,0.000761333333333333,232.433333333333
1000,mpi,8,0.00371466666666667,457.846666666667
5000,serial,1,0.0173333333333333,0
5000,openmp,1,0.02,0
5000,openmp,2,0.147666666666667,0
5000,openmp,4,0.254333333333333,0
5000,openmp,8,0.402,0
5000,mpi,1,0.000716,0
5000,mpi,2,0.000784,10.8433333333333
5000,mpi,4,0.00122266666666667,183.596666666667
5000,mpi,8,0.00220933333333333,393.453333333333
10000,serial,1,0.0793333333333333,0
10000,openmp,1,0.0686666666666667,0
10000,openmp,2,0.252,0
10000,openmp,4,0.497666666666667,0
10000,openmp,8,0.883333333333333,0
10000,mpi,1,0.00125233333333333,0
10000,mpi,2,0.00141966666666667,23.47
10000,mpi,4,0.004453,127.486666666667
10000,mpi,8,0.00533133333333333,363.063333333333
50000,serial,1,2.48733333333333,0
50000,openmp,1,2.339,0
50000,openmp,2,1.50866666666667,0
50000,openmp,4,2.38766666666667,0
50000,openmp,8,4.08033333333333,0
50000,mpi,1,0.004835,0
50000,mpi,2,0.004926,17.28
50000,mpi,4,0.00365033333333333,78.34
50000,mpi,8,0.00765266666666667,337.746666666667
100000,serial,1,7.10066666666667,0
100000,openmp,1,6.97766666666667,0
100000,openmp,2,5.43166666666667,0
100000,openmp,4,7.288,0
100000,openmp,8,9.79266666666667,0
100000,mpi,1,0.0100413333333333,0
100000,mpi,2,0.008653,5.82
100000,mpi,4,0.011531,114.723333333333
100000,mpi,8,0.016584,346.29
